"Status","Estado"
"Disabled","Deshabilitada"
"Enabled","Habilitado"
"Sort Order","Orden de aparición"
"Web Site Information","Información del Sitio Web"
"Default Store","Tienda (predeterminado)"
"Set as Default","Establecer por defecto"
"Stores","Tiendas"
"Create Website","Crear sitio web"
"Create Store","Crear Tienda"
"Create Store View","Crear Vista de Tienda"
"Home","Página de inicio"
"Reset","Restablecer"
"Are you sure you want to do this?","¿Está seguro que desea hacer esto?"
"Add New Image","Añadir nueva imagen"
"Export block for grid %1 is not defined","Bloque de exportación para %1 de red no está definido"
"Reset Filter","Restablecer filtro"
"Search","Buscar"
"Any","Cualquiera"
"All Countries","Todos los países"
"From","Desde"
"To","Hasta"
"Date selector","Selector de fecha"
"[ deleted ]","[ eliminado ]"
"Select All","Seleccionar Todo"
"[deleted]","[deleted]"
"We couldn't find any records.","No pudimos encontrar ningún registro."
"Add New","Agregar nuevo"
"Invalid export type supplied for grid export block","Tipo de exportación no válido suministrado para exportación bloque de red"
"Export","Exportar"
"Please correct the column format and try again.","Por favor corregir el formato de columna y vuelva a intentarlo."
"An item needs to be selected. Select and try again.","Un articulo debe ser seleccionado. Selecciona uno y prueba de nuevo."
"Submit","Enviar"
"Unknown block type","Tipo de bloque desconocido"
"Please correct the tab configuration and try again. Tab Id should be not empty","Por favor, corrija la configuración de pestaña y vuelva a intentarlo. El campo Id no debe estar vacío"
"Please correct the tab configuration and try again.","Por favor corregir la configuración de la ficha y vuelva a intentarlo."
"You have logged out.","Has cerrado la sesión."
"These cache type(s) don't exist: %1","El tipo de caché especificada no existe: %1"
"The image cache was cleaned.","Se ha limpiado el caché de la imagen."
"An error occurred while clearing the image cache.","Error al borrar la caché de imagen."
"The JavaScript/CSS cache has been cleaned.","Se ha limpiado la memoria caché de JavaScript/CSS."
"An error occurred while clearing the JavaScript/CSS cache.","Error al borrar la memoria caché de JavaScript/CSS."
"The static files cache has been cleaned.","Se ha limpiado la caché de archivos estáticos."
"You flushed the cache storage.","Se vació la memoria cache."
"The Magento cache storage has been flushed.","La memoria cache de magento se vació."
"Cache Management","Gestión de caché"
"You can't change status of cache type(s) in production mode","No puedes cambiar el estado de los tipos de cache en modo producción"
"%1 cache type(s) disabled.","%1 tipo(s) de memoria cache deshabilitado(s)."
"An error occurred while disabling cache.","Ocurrió un error al desactivar la memoria caché."
"%1 cache type(s) enabled.","%1 tipo(s) de memoria cache habilitado(s)."
"An error occurred while enabling cache.","Ocurrió un error al activar la memoria caché."
"%1 cache type(s) refreshed.","%1 tipo(s) de memoria cache actualizado(s)."
"An error occurred while refreshing cache.","Ocurrió un error al actualizar la memoria caché."
"Dashboard","Panel"
"We updated lifetime statistic.","Se actualizaron las estadísticas de por vida."
"We can't refresh lifetime statistics.","No se puede actualizar las estadísticas de por vida."
"invalid request","solicitud no válida"
"see error log for details","ver registro de errores para obtener más información"
"Service unavailable: %1","Servicio no disponible: %1"
"Error","Error"
"Access Denied.","Acceso denegado."
"You need more permissions to do this.","Necesitas más permisos para realizar esta acción."
"No search modules were registered","No se registraron módulos de búsqueda"
"Please make sure that all global admin search modules are installed and activated.","Por favor asegúrese de que todos los módulos de búsqueda global del administrador estén instalados y activados."
"You saved the account.","Se guardó la cuenta."
"An error occurred while saving account.","Ocurrió un error al guardar la cuenta."
"You deleted the design change.","Se ha eliminado el cambio de diseño."
"You can't delete the design change.","No se puede eliminar el cambio de diseño."
"Store Design","Diseño de Tienda"
"Edit Store Design Change","Editar el cambio de diseño de la tienda"
"You saved the design change.","Se guardó el cambio de diseño."
"System","Sistema"
"Manage Stores","Gestionar tiendas"
"The database was backed up.","La base de datos fue respaldada."
"We can't create a backup right now. Please try again later.","No se puede crear una copia de seguridad ahora. Por favor, inténtelo más tarde."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","La eliminación de %1 no eliminará la información asociada con %1 (ejem. categorías, artículos, etc.), pero el %1 no será capaz de restaurarse. Es recomendable que haga una copia de seguridad da la base de datos antes de eliminar %1."
"Something went wrong. Please try again.","Algo salió mal. Por favor, inténtelo de nuevo."
"This store cannot be deleted.","No se puede eliminar esta tienda."
"You deleted the store.","Eliminaste la tienda."
"Unable to delete the store. Please try again later.","No se puede eliminar la tienda. Por favor, inténtelo más tarde."
"This store view cannot be deleted.","No se puede eliminar esta vista de tienda."
"Store View","Vista de tienda"
"You deleted the store view.","Eliminaste la vista de tienda."
"Unable to delete the store view. Please try again later.","No se puede eliminar la vista de tienda. Por favor, inténtalo más tarde."
"This website cannot be deleted.","No se puede eliminar el sitio web."
"You deleted the website.","Ha eliminado el sitio web."
"Unable to delete the website. Please try again later.","No se puede eliminar el sitio web. Por favor, inténtalo más tarde."
"The website does not exist.","El sitio web no existe."
"Before modifying the website code please make sure it is not used in index.php.","Antes de modificar el código de la página web por favor, asegúrese de que no se utiliza en index.php."
"The store does not exist","La tienda no existe"
"Store view doesn't exist","La vista de tienda no existe"
"Before modifying the store view code please make sure it is not used in index.php.","Antes de modificar el código de vista de la tienda por favor, asegúrese de que no se utiliza en index.php."
"New","Nuevo"
"All Stores","Todas las tiendas"
"You saved the website.","Se guardó el sitio web."
"The default store cannot be disabled","No se puede deshabilitar la tienda predeterminada"
"You saved the store view.","Se guardó la vista de tienda."
"An inactive store view cannot be saved as default store view","Una vista de tienda inactiva no puede ser guardada como vista de tienda predeterminada"
"You saved the store.","Se guardó la tienda."
"Something went wrong while saving. Please review the error log.","Algo salió mal al guardar. Por favor, revise el registro de errores."
"Last 24 Hours","Últimas 24 horas"
"Last 7 Days","Últimos 7 días"
"Current Month","Mes actual"
"YTD","YTD"
"2YTD","2YTD"
"Authentication storage is incorrect.","La autentificación de almacenamiento es incorrecta."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Vuelva a intentarlo o seleccione Restablecer su contraseña para obtener acceso a su cuenta."
"An authentication error occurred. Verify and try again.","Se produjo un error de autenticación. Compruébalo y vuelva a intentarlo."
"The Admin session lifetime is invalid. Set the lifetime to 31536000 seconds (one year) or shorter and try again.","La vida util del admin es inválida. Configura la vida útil a 31536000 (un año) o menos y pruebe de nuevo."
"The Admin session lifetime is invalid. Set the lifetime to 60 seconds or longer and try again.","La vida util del admin es inválida. Configura la vida útil a 60 segundo o más y pruebe de nuevo."
"Order","Pedido"
"Order #%1","Pedido #%1"
"Save &amp; Continue","Guardar y continuar"
"Save &amp; Close","Guardar y Cerrar"
"Save &amp; New","Guardar &amp; Nuevo"
"Edit","Editar"
"Sorry, you need permissions to view this content.","Lo sentimos, necesita permisos para ver este contenido."
"Next steps","Siguientes pasos"
"If you think this is an error, try signing out and signing in again.","Si cree que se trata de un error, intente cerrar sesión e iniciar sesión nuevamente."
"Contact a system administrator or store owner to gain permissions.","Póngase en contacto con un administrador del sistema o dueño de la tienda para obtener permisos."
"Return to","Volver a"
"HTTP_REFERER","HTTP_REFERER"
"previous page","página anterior"
".","."
"javascript:history.back()","javascript:history.back()"
"Welcome, please sign in","Bienvenido, por favor inicie sesión"
"Username","Nombre de Usuario"
"user name","nombre de usuario"
"Password","Contraseña"
"password","contraseña"
"Sign in","Iniciar sesión"
"Select Range:","Seleccionar Rango:"
"No Data Found","No se encontraron datos"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","El gráfico está deshabilitado. Para activar el gráfico, haga clic <a href=""%1""> aquí</a>."
"Last Orders","Últimos Pedidos"
"Last Search Terms","Últimas Búsquedas"
"Top Search Terms","Artículos Más Buscados"
"There are no search keywords.","No hay palabras clave de búsqueda."
"View Statistics For:","Ver estadísticas de:"
"All Websites","Todos los sitios web"
"Reload Data","Recargar datos"
"Browse Files...","Buscar archivos..."
"Magento","Magento"
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","Copyright &copy; %1 Magento Commerce Inc. Todos los derechos reservados."
"ver. %1","ver. %1"
"Magento Admin Panel","Panel de administración de Magento"
"Account Setting","Configuración de la cuenta"
"Customer View","Vista de cliente"
"Sign Out","Cerrar sesión"
"About the calendar","Acerca del calendario"
"Close","Cerrar"
"Go Today","Hoy"
"Previous","Anterior"
"Next","Siguiente"
"WK","WK"
"Time","Tiempo"
"Hour","Hora"
"Minute","Minutos"
"JavaScript may be disabled in your browser.","Posiblemente JavaScript esté desactivado en su navegador."
"To use this website you must first enable JavaScript in your browser.","Para utilizar este sitio web primero debe activar JavaScript en su navegador."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Esto es sólo una tienda de demostración. Usted puede navegar y realizar pedidos, pero no se procesarán."
